epoch,batch,total_batches,loss,accuracy,learning_rate,processing_time_ms,timestamp
2,2,63,61.184628,0.0000,0.001000,27864,2026-01-03T11:33:16.948203401
2,3,63,61.184647,0.0000,0.001000,27886,2026-01-03T11:33:44.836363965
2,4,63,58.554207,0.0000,0.001000,30125,2026-01-03T11:34:14.961854295
